ID,Name,Stage
94,Do not delete temp folders upon exit: Not configured,Pending
95,Turn on Script Execution: Enabled Allow only signed scripts,Pending
96,Turn on PowerShell Script Block Logging: Enabled,Pending
97,Turn on PowerShell Transcription: Disabled,Pending
98,Client Allow Basic authentication: Not configured,Pending
99,Client Allow unencrypted traffic: Not configured,Pending
100,Client Disallow Digest authentication: Not configured,Pending
101,Service Allow Basic authentication: Not configured,Pending
102,Service Allow unencrypted traffic: Not configured,Pending
103,Service Disallow WinRM from storing RunAs credentials: Not configured,Pending
104,Service Allow remote server management through WinRM: Not configured,Pending
105,Allow Remote Shell Access: Not configured,Pending
106,Print Spooler (Spooler): Disabled,Pending
107,Turn off local group policy processing: Enabled,Pending
108,Check Privileged Accounts Used for Services: None,Pending
109,Change krbtgt Account Password: (21/09/2024),Pending
110,Configure NTFS Permissions for AdminSDHolder Folder: None,InProgress
111,"Password Configuration: Account (Guest, Duc)",Pending
112,"Check Unused Accounts: Account (teaaaaa, abc)",Pending
113,Check Accounts Not Changing Passwords Periodically: Account (Guest),Pending
